WORD,MEANING,AoAtestbased,AoArating,LWV,CDI,Morr,Floc
byway,side path,8,12.2,8,#N/A,#N/A,#N/A
C.I.A.,Central Intelligence Agency,6,,6,#N/A,#N/A,#N/A
C.O.D.,paid for when delivered,10,,10,#N/A,#N/A,#N/A
cab,taxi,2,6.8,4,#N/A,#N/A,#N/A
cab,part of truck,6,6.8,6,#N/A,#N/A,#N/A
cabal,secret plot,14,15.8,16,#N/A,#N/A,#N/A
caballero,a gentleman,12,13.2,12,#N/A,#N/A,#N/A
caballero,a horseman,12,13.2,12,#N/A,#N/A,#N/A
cabana,"small house, cabin",12,13.1,12,#N/A,#N/A,#N/A
cabaret,cafe with floor show,12,12.6,12,#N/A,#N/A,#N/A
cabbage,a green vegetable,2,6.4,4,#N/A,#N/A,#N/A
cabbage,money,8,6.4,8,#N/A,#N/A,#N/A
cabbage,to steal,13,6.4,13,#N/A,#N/A,#N/A
cabbage-head,dumb person,6,,6,#N/A,#N/A,#N/A
cabbie,a taxi-driver,8,9.4,8,#N/A,#N/A,#N/A
cabin,small hut or house,2,6.7,4,#N/A,#N/A,1
cabin,room on ship,4,6.7,4,#N/A,#N/A,1
cabin,pilot's quarters,8,6.7,8,#N/A,#N/A,1
cabinet,furniture with shelves,4,6.9,4,#N/A,#N/A,#N/A
cabinet,president's helpers,6,6.9,6,#N/A,#N/A,#N/A
cabinetmaker,fine woodworker,4,,4,#N/A,#N/A,#N/A
cable,to send a message,4,8.3,4,#N/A,#N/A,3
cable,strong rope,6,8.3,6,#N/A,#N/A,3
cable,overseas message,8,8.3,8,#N/A,#N/A,3
cablegram,under-ocean message,8,13.3,8,#N/A,#N/A,#N/A
cabman,a taxi driver,2,8.8,4,#N/A,#N/A,#N/A
caboodle,the whole lot,10,10.5,10,#N/A,#N/A,#N/A
caboose,end car of a freight,2,7.7,4,#N/A,#N/A,#N/A
cabriolet,coupe with a folding top,12,16.3,12,#N/A,#N/A,#N/A
cabriolet,type or car or carriage,12,16.3,12,#N/A,#N/A,#N/A
cacao,chocolate seeds,10,,10,#N/A,#N/A,#N/A
cacao,a kind of tree,10,,10,#N/A,#N/A,#N/A
cache,hidden supplies,12,13.3,12,#N/A,#N/A,8
cache,to store away,12,13.3,12,#N/A,#N/A,8
cache,hiding place,12,13.3,12,#N/A,#N/A,8
cachet,a distinguishing mark,12,15.1,12,#N/A,#N/A,#N/A
cackle,hen's noise,4,8.6,4,#N/A,#N/A,#N/A
cackle,a funny laugh,6,8.6,6,#N/A,#N/A,#N/A
cackle,to make a silly chatter,6,8.6,6,#N/A,#N/A,#N/A
caconym,a bad name,14,,16,#N/A,#N/A,#N/A
cacophony,harsh sounds,14,17.0,16,#N/A,#N/A,#N/A
cactus,a desert plant,2,6.7,4,#N/A,114.5,#N/A
cad,not a gentleman,8,,8,#N/A,#N/A,#N/A
cadaver,a dead body,12,13.0,12,#N/A,#N/A,#N/A
cadaverous,"gaunt, haggard",13,15.5,13,#N/A,#N/A,#N/A
caddy,helps golfer,6,10.5,6,#N/A,#N/A,#N/A
caddy,a small container,14,10.5,16,#N/A,#N/A,#N/A
cadence,a drop of the voice,12,13.1,12,#N/A,#N/A,#N/A
cadence,rhythmical movement,12,13.1,12,#N/A,#N/A,#N/A
cadence,a musical close,12,13.1,12,#N/A,#N/A,#N/A
cadenza,brilliant musical flourish,13,14.6,13,#N/A,#N/A,#N/A
cadet,military student,6,10.1,6,#N/A,#N/A,#N/A
cadet,someone in training,8,10.1,8,#N/A,#N/A,#N/A
cadge,to beg shamelessly,12,15.2,12,#N/A,#N/A,#N/A
cadmium,metallic element,12,14.9,12,#N/A,#N/A,#N/A
cadre,trained personnel,13,15.5,13,#N/A,#N/A,#N/A
caduceus,a medical emblem,14,18.5,16,#N/A,#N/A,#N/A
caecum,first part of large intestine,13,,13,#N/A,#N/A,#N/A
caesar,a dictator,6,,6,#N/A,#N/A,#N/A
caesarian,birth delivery by surgery,12,13.5,12,#N/A,#N/A,#N/A
caesura,a break in poetry,13,,13,#N/A,#N/A,#N/A
cafe,eating place,2,7.6,4,#N/A,#N/A,#N/A
café noir,black coffee,12,,12,#N/A,#N/A,#N/A
cafe-au-lait,coffee with cream,12,,12,#N/A,#N/A,#N/A
cafeteria,special eating place,4,7.2,4,#N/A,#N/A,#N/A
caffe espresso,Italian-style coffee,12,,12,#N/A,#N/A,#N/A
caffeine,stimulant found in coffee,4,8.9,4,#N/A,#N/A,#N/A
cage,shut in,2,5.5,4,#N/A,#N/A,#N/A
cage,wire box for birds,2,5.5,4,#N/A,#N/A,#N/A
cage,a basketball score,12,5.5,12,#N/A,#N/A,#N/A
cage,the basketball hoop,12,5.5,12,#N/A,#N/A,#N/A
cage,a hockey goal,12,5.5,12,#N/A,#N/A,#N/A
cagey,very cautious,10,13.9,10,#N/A,#N/A,#N/A
cagey,crafty,10,13.9,10,#N/A,#N/A,#N/A
cahoots,in partnership,12,12.2,12,#N/A,#N/A,#N/A
caique,a rowboat,14,,16,#N/A,#N/A,#N/A
cairn,memorial stone pile,13,15.3,13,#N/A,#N/A,#N/A
caisson,ammunition cart,12,17.2,12,#N/A,#N/A,#N/A
caisson,box under water,14,17.2,16,#N/A,#N/A,#N/A
caisson disease,nitrogen in blood stream,12,,12,#N/A,#N/A,#N/A
caitiff,cowardly,12,,12,#N/A,#N/A,#N/A
cajole,deceive by flattery,13,12.6,13,#N/A,#N/A,#N/A
cajolery,false flattery,14,,16,#N/A,#N/A,#N/A
cake,a baked dessert,2,3.9,4,21,23.4,#N/A
cake,a piece of soap,6,3.9,6,21,23.4,#N/A
cake,form or harden,10,3.9,10,21,23.4,#N/A
cake,"round, flat object",12,3.9,12,21,23.4,#N/A
cakewalk,kind of dance,12,9.6,12,#N/A,#N/A,#N/A
calabash,a gourd,14,16.8,16,#N/A,#N/A,#N/A
calaboose,jail,10,12.7,10,#N/A,#N/A,#N/A
calamine,poisonpivy lotion,10,8.2,10,#N/A,#N/A,#N/A
calamitous,disastrous,12,13.7,12,#N/A,#N/A,#N/A
calamity,great misfortune,8,11.1,8,#N/A,#N/A,#N/A
calcareous,chalky,14,,16,#N/A,#N/A,#N/A
calcify,harden with lime,12,15.4,12,#N/A,#N/A,#N/A
calcify,to harden into lime,12,15.4,12,#N/A,#N/A,#N/A
calcimine,whitewash,13,,13,#N/A,#N/A,#N/A
calcine,to heat without fusing,12,,12,#N/A,#N/A,#N/A
calcite,calcium carbonate,13,14.3,13,#N/A,#N/A,#N/A
calcium,mineral,6,10.3,6,#N/A,#N/A,#N/A
calcium,mineral in bones,12,10.3,12,#N/A,#N/A,#N/A
calcium carbonate,rock stuff,12,,12,#N/A,#N/A,#N/A
calculable,can be figured,8,,8,#N/A,#N/A,#N/A
calculate,figure out,6,9.1,6,#N/A,#N/A,4
calculated,planned,8,9.1,8,#N/A,#N/A,#N/A
calculating,scheming and cautious,8,9.1,8,#N/A,#N/A,#N/A
calculation,adding numbers,8,8.8,8,#N/A,#N/A,#N/A
calculator,figuring machine,8,8.2,8,#N/A,#N/A,#N/A
calculus,higher math,12,13.7,12,#N/A,#N/A,#N/A
caldera,part of volcanic land,12,14.8,12,#N/A,#N/A,#N/A
caldron,large kettle,13,9.6,13,#N/A,#N/A,#N/A
calendar,"shows days, months",2,5.9,4,#N/A,#N/A,#N/A
calendar,things to do,12,5.9,12,#N/A,#N/A,#N/A
calendar,a glazing machine,14,5.9,16,#N/A,#N/A,#N/A
calends,first day of Roman calendar month,14,,16,#N/A,#N/A,#N/A
calf,baby cow,2,6.3,4,#N/A,#N/A,#N/A
calf,leather,6,6.3,6,#N/A,#N/A,#N/A
calf,back part of lower leg,6,6.3,6,#N/A,#N/A,#N/A
calf,"a young, silly person",12,6.3,12,#N/A,#N/A,#N/A
calfskin,leather,2,12.7,4,#N/A,#N/A,#N/A
caliber,"size of bullet, gun barrel",8,11.1,8,#N/A,#N/A,#N/A
caliber,degree of merit,13,11.1,13,#N/A,#N/A,#N/A
calibrate,to mark off measurements,12,12.9,12,#N/A,#N/A,#N/A
calibration,measuring mark,13,12.4,13,#N/A,#N/A,#N/A
calico,cotton cloth,8,10.8,8,#N/A,#N/A,#N/A
calico,"a splotched, spotted animal",12,10.8,12,#N/A,#N/A,#N/A
caliente,hot,14,,16,#N/A,#N/A,#N/A
californium,radioactive element,12,14.1,12,#N/A,#N/A,#N/A
calipers,measuring devices,12,,12,#N/A,#N/A,#N/A
caliph,a Moslem chief,12,14.8,12,#N/A,#N/A,#N/A
caliphate,a Moslem office,13,,13,#N/A,#N/A,#N/A
calisthenics,health exercises,10,,10,#N/A,#N/A,#N/A
calk,nail on shoe,12,14.1,12,#N/A,#N/A,#N/A
calk,to make watertight,13,14.1,13,#N/A,#N/A,#N/A
calking,stop up leaks,14,,16,#N/A,#N/A,#N/A
call,shout,2,4.6,4,#N/A,#N/A,#N/A
call,to phone,2,4.6,4,#N/A,#N/A,#N/A
call,announce,2,4.6,4,#N/A,#N/A,#N/A
call,a visit,2,4.6,4,#N/A,#N/A,#N/A
call,a bird's sound,2,4.6,4,#N/A,#N/A,#N/A
call,give name to,6,4.6,6,#N/A,#N/A,#N/A
call,name strike or ball,6,4.6,6,#N/A,#N/A,#N/A
call,say it is,6,4.6,6,#N/A,#N/A,#N/A
call,to demand payment,10,4.6,10,#N/A,#N/A,#N/A
call,end game early,10,4.6,10,#N/A,#N/A,#N/A
call,unit of a system,10,4.6,10,#N/A,#N/A,#N/A
call,to challenge,12,4.6,12,#N/A,#N/A,#N/A
call down,scold,12,,12,#N/A,#N/A,#N/A
call for,demand,8,,8,#N/A,#N/A,#N/A
call off,to cancel,6,,6,#N/A,#N/A,#N/A
call off,to read out the list,6,,6,#N/A,#N/A,#N/A
call on,to pay a visit,6,,6,#N/A,#N/A,#N/A
call on,to ask to recite,8,,8,#N/A,#N/A,#N/A
calla,a lily-like plant,12,,12,#N/A,#N/A,#N/A
caller,a visitor,6,6.8,6,#N/A,#N/A,#N/A
caller,leads barn dances,6,6.8,6,#N/A,#N/A,#N/A
calligraphy,beautiful script,14,12.9,16,#N/A,#N/A,#N/A
calling,an impulse toward,8,4.6,8,#N/A,#N/A,#N/A
calling,usual occupation,13,4.6,13,#N/A,#N/A,#N/A
Calliope,Muse of eloquence and poetry,12,12.5,12,#N/A,#N/A,#N/A
calliope,a circus organ,13,12.5,13,#N/A,#N/A,#N/A
callous,not sensitive,12,11.1,12,#N/A,#N/A,#N/A
callow,young and inexperienced,14,13.3,16,#N/A,#N/A,#N/A
call-up,army draft,10,,10,#N/A,#N/A,#N/A
callus,hard place on skin,4,9.9,4,#N/A,#N/A,#N/A
calm,"still, without wind",6,6.5,6,#N/A,#N/A,#N/A
calm,quiet,6,6.5,6,#N/A,#N/A,#N/A
calmness,peacefulness,4,8.6,4,#N/A,#N/A,#N/A
calomel,a medicine,13,13.6,13,#N/A,#N/A,#N/A
caloric,of heat,12,12.8,12,#N/A,#N/A,#N/A
calorie,food energy unit,6,11.4,6,#N/A,#N/A,#N/A
calorie,a unit of heat,10,11.4,10,#N/A,#N/A,#N/A
calorimeter,measures heat,13,15.4,13,#N/A,#N/A,#N/A
calumet,peace pipe,13,,13,#N/A,#N/A,#N/A
calumniate,to slander,13,,13,#N/A,#N/A,#N/A
calumny,slander,13,,13,#N/A,#N/A,#N/A
calve,to give birth to calves,12,10.5,12,#N/A,#N/A,#N/A
calved,cow gave birth,10,,10,#N/A,#N/A,#N/A
calves,young cows,2,6.3,4,#N/A,#N/A,#N/A
calves,the back parts of lower legs,6,6.3,6,#N/A,#N/A,#N/A
calypso,a West Indies song,12,14.6,12,#N/A,#N/A,#N/A
calyx,a flower's sepals,13,,13,#N/A,#N/A,#N/A
cam,part of machine,10,11.1,10,#N/A,#N/A,#N/A
cam,changes direction of movement,13,11.1,13,#N/A,#N/A,#N/A
camaraderie,fellowship,12,12.2,12,#N/A,#N/A,#N/A
camber,to arch or tilt,13,,13,#N/A,#N/A,#N/A
cambial,a layer of plant growth,12,,12,#N/A,#N/A,#N/A
cambium,inner layer of bark,14,,16,#N/A,#N/A,#N/A
cambric,a kind of tea,12,16.0,12,#N/A,#N/A,#N/A
cambric,a kind of cloth,14,16.0,16,#N/A,#N/A,#N/A
came,did come,2,4.0,4,#N/A,#N/A,#N/A
came to,became conscious,10,,10,#N/A,#N/A,#N/A
came to grief,failed,12,,12,#N/A,#N/A,#N/A
camel,humped desert animal,2,5.7,4,#N/A,68.5,#N/A
camellia,a flower or shrub,10,13.1,10,#N/A,#N/A,#N/A
camelopard,a giraffe,13,,13,#N/A,#N/A,#N/A
Camelot,place of enchantment,13,,13,#N/A,#N/A,#N/A
Camembert,a French cheese,12,15.7,12,#N/A,#N/A,#N/A
cameo,carved gem,10,11.1,10,#N/A,#N/A,#N/A
camera,takes pictures,2,6.0,4,25,50.5,#N/A
camino real,royal highway,14,,16,#N/A,#N/A,#N/A
camion,a truck,14,11.4,16,#N/A,#N/A,#N/A
camisole,woman's undergarment,13,13.7,13,#N/A,#N/A,#N/A
camomile,herb tea,14,,16,#N/A,#N/A,#N/A
camouflage,disguise,6,7.5,6,#N/A,#N/A,#N/A
camouflage,false appearance,8,7.5,8,#N/A,#N/A,#N/A
camp,a summer cottage,2,5.8,4,#N/A,#N/A,#N/A
camp,to live outdoors,2,5.8,4,#N/A,#N/A,#N/A
camp,group of tents,2,5.8,4,#N/A,#N/A,#N/A
camp,"awful, but in style",12,5.8,12,#N/A,#N/A,#N/A
camp,a group,13,5.8,13,#N/A,#N/A,#N/A
campaign,to seek election votes,4,10.9,4,#N/A,#N/A,6
campaign,planned action,6,10.9,6,#N/A,#N/A,6
campaign,war operation,10,10.9,10,#N/A,#N/A,6
campanile,a bell tower,12,14.4,12,#N/A,#N/A,#N/A
campcraft,art of camping,6,,6,#N/A,#N/A,#N/A
camper,recreational vehicle,4,7.6,4,#N/A,#N/A,#N/A
camper,lives outdoors,4,7.6,4,#N/A,#N/A,#N/A
campfire,an outdoor fire,2,5.1,4,#N/A,#N/A,#N/A
camphor,medicine,8,13.4,8,#N/A,#N/A,#N/A
campus,college grounds,6,11.0,6,#N/A,#N/A,#N/A
camshaft,an auto valve opener,10,14.2,10,#N/A,#N/A,#N/A
can,is able,2,3.8,4,#N/A,#N/A,#N/A
can,a metal container,4,3.8,4,#N/A,#N/A,#N/A
can,to preserve food,4,3.8,4,#N/A,#N/A,#N/A
can,fire from job,13,3.8,13,#N/A,#N/A,#N/A
can it!,stop it!,12,,12,#N/A,#N/A,#N/A
cana,body tube,6,,6,#N/A,#N/A,#N/A
canaille,"rabble, riffraff",14,,16,#N/A,#N/A,#N/A
canal,man-made river,4,8.2,4,#N/A,#N/A,#N/A
canalize,direct a certain way,13,,13,#N/A,#N/A,#N/A
canape,an appetizer,12,16.4,12,#N/A,#N/A,#N/A
canard,a hoax,14,15.3,16,#N/A,#N/A,#N/A
canard,false rumor,14,15.3,16,#N/A,#N/A,#N/A
canary,a song bird,4,6.7,4,#N/A,#N/A,#N/A
canary,kind of wine,14,6.7,16,#N/A,#N/A,#N/A
canasta,card game,6,13.2,6,#N/A,#N/A,#N/A
cancan,stage dance,8,12.3,8,#N/A,#N/A,#N/A
cancel,to cross out,6,7.6,6,#N/A,#N/A,#N/A
cancel,to destroy the force or effect,6,7.6,6,#N/A,#N/A,#N/A
cancel,to mark out a stamp,6,7.6,6,#N/A,#N/A,#N/A
cancel,give up,8,7.6,8,#N/A,#N/A,#N/A
cancellation,crossed out,8,10.1,8,#N/A,#N/A,#N/A
candelabrum,branched candelstick,12,12.2,12,#N/A,#N/A,#N/A
candescent,glowing with heat,12,,12,#N/A,#N/A,#N/A
candid,sincere,14,10.9,16,#N/A,#N/A,7
candidacy,running for office,6,12.3,6,#N/A,#N/A,#N/A
candidate,runs for office,6,10.9,6,#N/A,#N/A,#N/A
candidly,frankly,12,,12,#N/A,#N/A,#N/A
candied,cooked with sugar,6,,6,#N/A,#N/A,#N/A
candle,wax and string light,2,5.4,4,#N/A,38.5,#N/A
candle,a measure of light,2,5.4,4,#N/A,38.5,#N/A
candle,to test eggs,12,5.4,12,#N/A,38.5,#N/A
candlelight,light of candle,2,7.7,4,#N/A,#N/A,#N/A
Candlemas,a church festival,12,,12,#N/A,#N/A,#N/A
candlepower,measure of light,10,8.6,10,#N/A,#N/A,#N/A
candlestick,holder for candle,6,5.6,6,#N/A,#N/A,#N/A
candor,honest speaking,14,11.9,16,#N/A,#N/A,#N/A
candy,sweets,2,3.9,4,22,#N/A,#N/A
candytuft,flower,10,,10,#N/A,#N/A,#N/A
cane,walking stick,2,6.5,4,#N/A,#N/A,#N/A
cane,source of sugar,4,6.5,4,#N/A,#N/A,#N/A
cane,woody part of bamboo,4,6.5,4,#N/A,#N/A,#N/A
cane,chair-seat material,10,6.5,10,#N/A,#N/A,#N/A
cane,to whip,12,6.5,12,#N/A,#N/A,#N/A
cane,repair chair,14,6.5,16,#N/A,#N/A,#N/A
canebrake,cane thicket,12,11.7,12,#N/A,#N/A,#N/A
canine,pointed tooth,12,9.1,12,#N/A,#N/A,7
canine,dog,12,9.1,12,#N/A,#N/A,7
canister,a spice can,8,8.8,8,#N/A,#N/A,#N/A
canister,tin box,10,8.8,10,#N/A,#N/A,#N/A
canister,small artillery shot,12,8.8,12,#N/A,#N/A,#N/A
canker,spreading sore,10,10.4,10,#N/A,#N/A,#N/A
cankerworm,kind of caterpillar,12,,12,#N/A,#N/A,#N/A
canna,a tropical plant,13,,13,#N/A,#N/A,#N/A
canned,kept in cans,2,7.6,4,#N/A,#N/A,#N/A
canned,lost job,10,7.6,10,#N/A,#N/A,#N/A
cannel,a kind of coal,13,,13,#N/A,#N/A,#N/A
cannery,preserves food,4,11.2,4,#N/A,#N/A,#N/A
cannibal,eater of human flesh,8,9.1,8,#N/A,#N/A,#N/A
cannibalism,eating human flesh,6,12.3,6,#N/A,#N/A,#N/A
cannily,shrewdly,10,,10,#N/A,#N/A,#N/A
canning,preserving foods,2,8.4,4,#N/A,#N/A,#N/A
cannon,a large gun,2,7.8,4,#N/A,114.5,#N/A
cannonade,firing of guns,8,15.0,8,#N/A,#N/A,#N/A
cannonball,ball from cannon,2,6.4,4,#N/A,#N/A,#N/A
cannot,is not able,2,5.5,4,#N/A,#N/A,#N/A
canny,shrewd,10,13.9,10,#N/A,#N/A,7
canoe,"light, narrow boat",4,7.1,4,#N/A,#N/A,#N/A
canon,a canyon,12,9.3,12,#N/A,#N/A,#N/A
canon,"bishop, church officer",12,9.3,12,#N/A,#N/A,#N/A
canon,a form of music,13,9.3,13,#N/A,#N/A,#N/A
canon,church law,14,9.3,16,#N/A,#N/A,#N/A
canonize,glorify,14,15.0,16,#N/A,#N/A,#N/A
canopy,overhead covering,8,9.8,8,#N/A,#N/A,#N/A
canopy,a cockpit cover,8,9.8,8,#N/A,#N/A,#N/A
canst,are able,14,3.8,16,#N/A,#N/A,#N/A
cant,insincere talk,13,,13,#N/A,#N/A,#N/A
cant,sloping position,13,,13,#N/A,#N/A,#N/A
cant,to push sideways,14,,16,#N/A,#N/A,#N/A
can't,is not able,2,,4,#N/A,#N/A,#N/A
cant hook,logging tool,13,,13,#N/A,#N/A,#N/A
cantabile,like a song,13,11.7,13,#N/A,#N/A,#N/A
cantaloupe,fruit,6,7.2,6,#N/A,#N/A,#N/A
cantankerous,never agreeable,12,13.8,12,#N/A,#N/A,#N/A
cantata,a musical composition,13,14.3,13,#N/A,#N/A,#N/A
canteen,liquid container,2,9.4,4,#N/A,#N/A,#N/A
canteen,a temporary restaurant,8,9.4,8,#N/A,#N/A,#N/A
canteen,store in  military camp,12,9.4,12,#N/A,#N/A,#N/A
canter,easy gallop,12,,12,#N/A,#N/A,#N/A
canticle,a hymn or chant,12,,12,#N/A,#N/A,#N/A
canticle,a short song,12,,12,#N/A,#N/A,#N/A
cantilever,a type of construction,12,15.2,12,#N/A,#N/A,#N/A
cantilever,type of bridge,12,15.2,12,#N/A,#N/A,#N/A
cantle,part of saddle,14,15.3,16,#N/A,#N/A,#N/A
canto,part of poem,13,13.6,13,#N/A,#N/A,#N/A
canton,the upper quarter of a flag,12,,12,#N/A,#N/A,#N/A
canton,state-like division,12,,12,#N/A,#N/A,#N/A
cantonment,military quarters,12,,12,#N/A,#N/A,#N/A
cantor,church singer,14,,16,#N/A,#N/A,#N/A
canvas,heavy cloth,4,8.8,4,#N/A,#N/A,#N/A
canvas,oil painting,6,8.8,6,#N/A,#N/A,#N/A
canvas,the floor of a fight ring,8,8.8,8,#N/A,#N/A,#N/A
canvasback,a wild duck,13,13.9,13,#N/A,#N/A,#N/A
canvass,examine thoroughly,12,10.7,12,#N/A,#N/A,#N/A
canvass,to solicit orders,12,10.7,12,#N/A,#N/A,#N/A
canyon,deep valley,2,9.3,4,#N/A,#N/A,#N/A
caoutchouc,rawrubber,12,,12,#N/A,#N/A,#N/A
cap,small head covering,2,5.1,4,#N/A,68.5,#N/A
cap,explosive for toy gun,6,5.1,6,#N/A,68.5,#N/A
cap,to cover,6,5.1,6,#N/A,68.5,#N/A
cap,provide something better,14,5.1,16,#N/A,68.5,#N/A
capability,fitness,10,9.4,10,#N/A,#N/A,#N/A
capable,able to do,4,9.2,4,#N/A,#N/A,4
capacious,roomy,14,14.0,16,#N/A,#N/A,8
capacitance,to ability to store electricity,12,15.0,12,#N/A,#N/A,#N/A
capacitor,permits storage of electricity,10,12.1,10,#N/A,#N/A,#N/A
capacity,amount it holds,6,9.8,6,#N/A,#N/A,6
capacity,ability,8,9.8,8,#N/A,#N/A,6
capacity,position served in,10,9.8,10,#N/A,#N/A,6
capacity,engine displacement,12,9.8,12,#N/A,#N/A,6
cap-a-pie,completely,13,,13,#N/A,#N/A,#N/A
caparisoned,decoratively covered,14,,16,#N/A,#N/A,#N/A
cape,sleeveless coat,4,6.2,4,#N/A,#N/A,#N/A
cape,point of land,6,6.2,6,#N/A,#N/A,#N/A
caper,a prank,10,12.2,10,#N/A,#N/A,#N/A
caper,to leap and frolic,12,12.2,12,#N/A,#N/A,#N/A
caper,a crime treated lightly,12,12.2,12,#N/A,#N/A,#N/A
capers,pickled buds,14,12.2,16,#N/A,#N/A,#N/A
capillarity,a property of liquids,13,14.9,13,#N/A,#N/A,#N/A
capillary,a slender tube,10,13.2,10,#N/A,#N/A,#N/A
capillary,a tiny blood vessel,10,13.2,10,#N/A,#N/A,#N/A
capillary,hair-like,12,13.2,12,#N/A,#N/A,#N/A
capital,seat of government,4,7.8,4,#N/A,#N/A,6
capital,money to invest,8,7.8,8,#N/A,#N/A,6
capital,punishable by death,12,7.8,12,#N/A,#N/A,6
capital,top of column,13,7.8,13,#N/A,#N/A,6
capital,very important,13,7.8,13,#N/A,#N/A,6
capital,excellent,14,7.8,16,#N/A,#N/A,6
capital letter,large print initial,2,,4,#N/A,#N/A,#N/A
capital punishment,death penalty for a crime,10,,10,#N/A,#N/A,#N/A
capitalism,free enterprise,13,11.4,13,#N/A,#N/A,#N/A
capitalist,wealthy investor,10,12.7,10,#N/A,#N/A,#N/A
capitalize,to begin with large letters,4,7.8,4,#N/A,#N/A,#N/A
capitalize,make good use of,12,7.8,12,#N/A,#N/A,#N/A
capitalize,furnish with assets,12,7.8,12,#N/A,#N/A,#N/A
capitalize on,take advantage of a mistake,10,,10,#N/A,#N/A,#N/A
capitol,a statehouse,8,,8,#N/A,#N/A,#N/A
capitulate,surrender,14,13.5,16,#N/A,#N/A,#N/A
capitulation,surrender,12,12.9,12,#N/A,#N/A,#N/A
capon,tender rooster,14,11.9,16,#N/A,#N/A,#N/A
caprice,sudden change of mind,14,,16,#N/A,#N/A,#N/A
capricious,changeable,14,15.5,16,#N/A,#N/A,7
capsize,overturn,8,10.2,8,#N/A,#N/A,7
capstan,winds anchor cable,12,11.0,12,#N/A,#N/A,#N/A
capstone,top stone of an arch,12,13.5,12,#N/A,#N/A,#N/A
capstone,crowning achievement,13,13.5,13,#N/A,#N/A,#N/A
capsule,space vehicle,4,9.9,4,#N/A,#N/A,#N/A
capsule,small container,4,9.9,4,#N/A,#N/A,#N/A
captain,army officer,2,5.9,4,#N/A,#N/A,#N/A
captain,the team leader,2,5.9,4,#N/A,#N/A,#N/A
captain,person in charge,2,5.9,4,#N/A,#N/A,#N/A
captain,in charge of ship,2,5.9,4,#N/A,#N/A,#N/A
caption,title,12,8.9,12,#N/A,#N/A,8
captious,fault-finding,12,,12,#N/A,#N/A,#N/A
captivate,charm,13,10.4,13,#N/A,#N/A,#N/A
captive,a prisoner,6,9.5,6,#N/A,#N/A,#N/A
captivity,held against will,6,9.1,6,#N/A,#N/A,4
captor,one who arrests,10,9.1,10,#N/A,#N/A,#N/A
capture,take by force,4,7.4,4,#N/A,#N/A,3
capuchin,a hood,13,14.6,13,#N/A,#N/A,#N/A
car,part of train,2,3.7,4,17,22.1,#N/A
car,automobile,2,3.7,4,17,22.1,#N/A
car,elevator or cage,10,3.7,10,17,22.1,#N/A
carabao,water buffalo,12,17.0,12,#N/A,#N/A,#N/A
caracul,kind of wool,14,,16,#N/A,#N/A,#N/A
carafe,a water bottle,12,11.2,12,#N/A,#N/A,#N/A
caramel,chewy candy,4,6.6,4,#N/A,#N/A,#N/A
carapace,turtle's upper shell,13,15.8,13,#N/A,#N/A,#N/A
carat,jeweler's measure,8,12.4,8,#N/A,#N/A,#N/A
caravan,traveling group,6,9.3,6,#N/A,56.5,#N/A
caravan (UK),vehicle,2,9.3,#N/A,#N/A,56.5,#N/A
caravansary,an inn for caravans,12,15.0,12,#N/A,#N/A,#N/A
caravel,a sailing ship,13,14.4,13,#N/A,#N/A,#N/A
caraway,spicy seed,10,14.3,10,#N/A,#N/A,#N/A
carbide,a carbon compound,12,14.4,12,#N/A,#N/A,#N/A
carbine,light rifle,12,13.5,12,#N/A,#N/A,#N/A
carbohydrate,starch or sugar,10,11.4,10,#N/A,#N/A,#N/A
carbolic,an acid,8,15.0,8,#N/A,#N/A,#N/A
carbon,a substance in coal,6,11.3,6,#N/A,#N/A,#N/A
carbon,a copy,8,11.3,8,#N/A,#N/A,#N/A
carbon,a nonmetallic element,10,11.3,10,#N/A,#N/A,#N/A
carbon dioxide,the dry-ice gas,10,,10,#N/A,#N/A,#N/A
carbon monoxide,a poisonous gas,6,,6,#N/A,#N/A,#N/A
carbon paper,makes extra copy,6,,6,#N/A,#N/A,#N/A
carbon tetrachloride,fire extinguisher fluid,12,,12,#N/A,#N/A,#N/A
carbonated,fizz water,6,,6,#N/A,#N/A,#N/A
carbonic,kind of acid,10,11.8,10,#N/A,#N/A,#N/A
carboniferous,producing coal,12,15.6,12,#N/A,#N/A,#N/A
carbonize,char,14,,16,#N/A,#N/A,#N/A
carborundum,"used for grinding, t.m.",14,,16,#N/A,#N/A,#N/A
carboy,large glass bottle,13,12.3,13,#N/A,#N/A,#N/A
carbuncle,large boil,10,18.2,10,#N/A,#N/A,#N/A
carbuncle,a deep-red jewel,12,18.2,12,#N/A,#N/A,#N/A
carburetor,part of car,6,,6,#N/A,#N/A,#N/A
carcass,dead body,10,11.6,10,#N/A,#N/A,#N/A
carcinogen,producing cancer,12,14.4,12,#N/A,#N/A,#N/A
carcinoma,a cancer,13,15.3,13,#N/A,#N/A,#N/A
card,shows person's name and address,2,5.5,4,#N/A,#N/A,#N/A
card,a piece of pasteboard,4,5.5,4,#N/A,#N/A,#N/A
card,funny person,10,5.5,10,#N/A,#N/A,#N/A
card,for combing wool,14,5.5,16,#N/A,#N/A,#N/A
card index,a card file,8,,8,#N/A,#N/A,#N/A
cardamon,spicy seed for seasoning,14,,16,#N/A,#N/A,#N/A
cardboard,thin stiff pasteboard,2,5.4,4,#N/A,#N/A,#N/A
