essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score
57,1,"in @DATE1 has become far more advanced. Computers are one of the most futiristic objects. The computer is good for connecting to people around the world. However, computers have bad effects on people's lives. Children are taking time out of their homework to go on the computer, citizens are gaining weight, and children are being kidnapped. School is very important and valuable if you want to suceed in life. However, computers have made it difficult for students to concentrat on their homework. This is a horrible habbit and a bad effect on students every where. Students grades will suffer and will not obtain class credits if this problem is not mentioned. Obesity is a huge problem in @LOCATION1, five out of every ten @CAPS1 are either overweight or obese. This can lead to death. The problem is that people are spending hours on the computer each day. Most of that time can be used to exercise. Exercising can be an important benefit to someone's life. If this problem is not addressed millions of americans will be overweight, @CAPS2 is a very serious and dangerous topic. Every month dozend of kids are kidnapped. Since the internet was invented there is a twenty percent increase rate of kids missing children will go on poppular networking websites such as @CAPS3, @CAPS4, and twitter and give out their important information. Pedophiles use the internet to trick children in to giving their address. This problem needs to stop and be addressed by the police. Everyday, more and more people use computers. Compuers have good and bad effects on peoples lives. The bad effects are very serious and dangerous. How would you feel if your child fails school, gains weight, or gets kidnapped because of the computer?",5,4,,9
58,1,"Dear Newspaper, I'm writing to you about the debate that you are having asking if people should use computers. The article stated ""more and more people use computers, but not everyone agrees that this benefits society."" I think people should not use computers. Also technolgy needs to slow down, it's getting to advanced. My first reason why people need to stop spending time on computers is, you don't want to always say to your on your honeymoon ""we could to @LOCATION1 from our computer. And your life will go by fast and you want notice it, your all fat and old. Also @PERCENT1 of people who use computers are over weight because they don't exercis. Secondly the more technology there is, we are going to have less. In addition it feels better when you work and not just sit on your computer, getting a mounthly cheak. In conclusion you live a happier life when explore the. In @PERCENT2 of people who use computer commit suicide. Also if it was or to me I would the use of computers. Bead all the about computers and you will think but like me. I use to be a computer geek.",4,3,,7
59,1,"You @MONTH1 find this hard to beleive, but many people think computers put a negative attitude on people. Now you @MONTH1 be saying thats not true, that everyone has a computer, but the truth is they don't and they believe it puts negative attitude on people. People have many reasons for owning a computer and one is friends. Did you @CAPS5 some people own computers because they want to stay in touch with friends from differnt states who live far away. For example, many people use @CAPS1 or @CAPS2 to connect with friends. I can make a connection because I have both a @CAPS1 and @CAPS2 that I use to stay in contact with family friends from all over. Some people, like myself, even have friends from different countries! I @CAPS5 that many people want to learn about people from differnt countries and this is one way to do it right now I am learning some new things about the @LOCATION1 because I am friends with someone who lives in @LOCATION2. While on this wonderful adventure of learning you @MONTH1 even get yourself into a vacation adventure. A recent test was taking stating that @NUM1 out of @NUM2 people like to travel but don't @CAPS5 where. Some people say that people spend to much time on the computer but not enough enjoying nature.These people are wrong if one is on a computer and they are chating with someone from a differnt state or country then that person might persuade them to take a visit there. For example they would be able to go to the internet type in the place they want to visit and get photographs and information about the place. As a result, people would still get to enjoy nature. Sometimes using the computer could be educational. Many people @MONTH1 disagree with that statement but its true. For example when on the computer many people in their senior year of high school use it to take online college courses to get their degree because going to a regular college @MONTH1 affect their work scheduale. This could also help students in any grade learn more about the topic they are studing. It would also help them on their reports. For example they would be able to get pictures and other information anytime they wanted to. As a result, the students grades would increase. I hope many of you agree with my statement and help spread the word that computers could be positive on the mind. As a result for those who didn't agree with the statement that they are positive not negative I hope that you will redecide on your opion.",4,4,,8
60,1,"Dear @CAPS1, I, agree that computers are benefits society. The computers have positive effect on people like hand-eye coordination. I helps you learn about other country religios, and other thing. You can communicate, meet other people, and chat tru computers. Another positive fact about computer is that you can find all the information you need and fast. In other words is that computer help a lot of people.",2,2,,4
61,1,"Do you spend all or most of your freetime sitting at your computer? People are spending too much time on computers. Obesity is a growing problem in today's society, people need to interact with eachother, and we need to get some fresh air. Computer are ruining these things for people. Unplug yourself from your computer. More and more people are becoming obese. This is do to spending too much time sitting down in front of computers. There is absolutely no exercise involved with being on your computer. People need to get outside and go jogging, play games or ride their bikes. Cutting back on computer time would cut back on the obesity problem in our society. Top scientists and researchers say that it is extremely important for people to interact with others face to face. To our whole life, we will have to interact and socialize with others. If you don't develop these skills, you won't be happy where you end up. Talking to people over the computer is nowhere near close to talking to someone face to face. Get out and get some fresh air. Go experience nature. Bring out on the beach, hiking in the woods or even just sitting on the swing in your backyard can be the most. Fresh air clear your mind. Time says that kids who spend time outside receive better grades than they would if they were inside on the computer. People need to releave stress so go outside. Click turn off your computers and get out of your chair. Go get some exercise, go interact with friendsand family, or even just go outside and get some fresh air while relaxing. People are wasting too much time on their computers and it's flushing our society down the toilet, so just turn off your computer.",4,4,,8
62,1,"I think it is okay for people to use computers because they get to learn new things and meet new people. I don't think it's a bad idea to use computers because some people who have jobs works on computers all day. @NUM1 each sometimes computers can be a distraction but computers can help you alot. I think using computers can help you learn new things and meet new people. Slick, slack, slick, thats the sound of people typing ont he computer and meeting new friends and having a good time. When you learn something new like a rat is as big as a house. You get excited and feel your the smartest person in the world. I dont think its a bad idea to use computers because some peole who have jobs work on computers all day. I think people who uses computers all day while the're at work dont have to be classy, topuler or trendy, they just working to help themselves and theior family. YEah sometimes computers can be a distraction but computers can help you alot. They can help you learn new things meet new friends and give you something to do when your bored. i remember the time when I was bored and I went on the computer to google who @PERSON1 was and I found out she was a famous sinher, someone I didn't know but heard about. Chantrail @CAPS1 a @NUM2 grade student says ""only people who want to learn something or meet new friends will use the computers. If you want to learn something new or meet new people then I suggest you stop eating those chips, get off that couch and use the computer.",4,4,,8
63,1,"Dear local newspaper, I think that computers have a good effect on people. They are good because you can learn things educational. You can hear the latest stories on everything, and you can keep your information down for yourself. Computers are a good thing to have because you can learn information. @CAPS1 you have a question or don't know what something means, you can find out on the internet. These are some internet sources that are @NUM1 to answer questions. @CAPS1 we didnt have computers, then @CAPS1 you have a question, then you would have to go find a book to read in and that takes much more work. Another reason why computers are a good things is because you can catch up on all of the recent stories. You can learn about whats happenings in other parts of the world, you can learn things about celebrities, and you can look at the weather. You can find all this cut on television, but you never knows when it would come on. With computers, you can search all the latest stories and find things cut when you want to know them. With Computers, you can also keep information down. You could use @ORGANIZATION1 and keep everything you need to know in a nice and fashion. You can also make graphs on the computer. This way your graphs will nice have alright time and @CAPS1 you would to go information that in a @CAPS1 there were no computers then your information would not be as and you can it. I believe that computers are a good thing to have because you can hear about the latest stories, and you can keep your own information neat. I believe computers positive effect in people.",4,4,,8
64,1,Dear news paper I think computers good for you because you can use the internet and myspace and videos and some school work like math and essays so yes I do think that computers are good for you because you can do all kind of things on computers. And computers can help you with school a lot and you can print out lots of things and why computers can help you is with your math writing spelling and most defyntly is science and ant also literature. The reason why I chose those @NUM1 things is because you can look those @NUM1 things up on. Computer and get the answer to math and spelling right like read @NUM3 helps you write and spell thats one at the reasons why I like computers because I can get on read @NUM3 and I love doing read @NUM3 a lot and I like the read @NUM3 class also because the computers sometimes I like reading on the computers but not all the time but I have to read that's how I'll first learn how to read by forsing my self forward to read. That's how I'll first learned how to read by computers and putting forse to my self. That's why computers is more important to me and look words up.,4,3,,7
65,1,"Dear Newspaper, People are spending way too much time on the computer and it is not right. They should be excercising, and interacting with friends and family. Having a computer also distracts them from schoolwork. Computers normally have effects like this on the people that use them. Instead of sitting at the computer all @DATE1 people should be out getting exercise. The @LOCATION1 is one of the coubtries with the most overweight people. Many teenagers are inside all @DATE1 at the computer waiting for their friends screename to pop up so they can talk to them. They don't need to be completely gone, but while they're waiting for their friend they could be exercising. All they need to do is put on some fun music and start dancing around, that will get them the excercise they need for the @DATE1. They also could do ten pushups and twenty curlups, or even more if they wanted to. Instead of sitting at the computer all @DATE1 exercise. Having a computer effects the owner because they don't have a lot of face-to-face converstions with friends and family. You can call your friend up and have them come over your house instead. If they can be at home on the computer for hours then they probably can hang out in real life. Instead of videochatting with your cousins in another state, lan for them to come visit you guys one @DATE1. That way you can actually talk to them and see what they're doing to. You could also play board games, hide and seek, etc. It is much more fun to be with someone in real life, then to talk with them online. The last but deffidently not least effect that computers have on peoples lives is it distracts them from school. Once you start talking with one of your friends, it's pretty hard to stop. Many people don't know how to stop so they don't do the homework they were supposed to do, or they didn't study for the big test the @DATE1, therefore they end up failing it. Some kids will do homework and a on the computer at the same time, the homework is probably wrong because they weren't concentrating on it hard enough. Having a computer effects your life in many different ways, some positive and some negative. Some ways are it ""stops"" you from exercising, it doesn't let you have face-to-face interaction with friends and family and it distracts many kids from school.",5,4,,9
66,1,"Wouldnt it be great to use computers in everyday life? In this country we can. You can use it to talk to people you never thought you would see again. Looking at places far away is always an option. You can even simply use it to help with homework essays. Locating and researching, even going to different countries, even different continents is possible to do on the computer. You can buy plan tickets. reserve rooms, even reserve tables at resturants in different countries by just a few clicks. Another thing is, you can research countries, towns, and cities with google instead of having to go out and get books. Reading about and talking to people from different countries is always an option. Being able to talk. and read about people and go to countries just by a clicking a button is pretty amazing. Computers also allow us to talk and communicate to people when there is no other way. The computers give people the ability to talk and see people they they the would never communicate with anymore. An example of this is my father hadn't see his father since he was two, but he started communicating with him and we were able to see him and chat with him through web chat. So these web chatting websites; ooVoo, facebook, myspce, skype, etc, is allowing people to reconnect. This advantage is allowing friendships and relationships to continue, is that really bad? Computers can help people with their homework and essays. For instint, they can type and print their essays instead of having to write it on paper. This helps because first it makes their, it also can be changed quicker and easier. They also can get information about what they are studying quickly and more efficiently. Instead of searching for a word in a big dictionary they can use an online dictionary and just have to type in the word. Online dictionary also have prounociation help and different langages. This helps so much so they can get their work done and exercise, enjoy nature, or interact with family and friends. I hope you will take my opinion seriously and think about it is using computers for daily needs really that bad?",5,4,,9
67,1,"Do you think computers effect people's society? Computers help people of age first, computers let you chat with friends and family. Also, computers let you learn a lot about history. Finally, computer is a great way to keep busy. First computer is a great way to chat with friend that you havent spoke to in a long time. Also, it helps you meet new friends and to keep in touch with them in the long run. Finally the computer technologies is outstanding cause it allows you to chat with family memebers across state through video chat or even websites such as myspace, facebook and twitter. Secondly, @ORGANIZATION1 is a great way to learn about history. You can find history on almost everything from the past to the present. You can learn history about famous people places and events. That why I think the computer technologie is so outstanding what you think will happen if we didnt have today? Finally, computer is a great way to keep busy because you take the time looking up information for school projects. Also, you can spent your spare time playing games that help you learn or even book flight ticket for vacation. Finally, the technologie is here for a reason so we should use it for anything like getting up with friends or jus going on to look up information on anything you need to find out. In conclusion, I just told you why computer technologie is good to have. First, it lets you friends and family. Also, computers let you learn a lot about history. Finally, computer is a great way to keep busy. Now I just told you why @ORGANIZATION1 technologie is a good thing to have. I hope agree with my point of view.",4,4,,8
68,1,"Dear Local Newspaper @CAPS1, I am writing to you about my opinion on the effects computers have on people. I believe that there can be both good and bad effects. Computers make things easier for people, but they are also too dependent on. Man-kind should use books for research also not just computers. Computers are very helpful for people. For example, if you really wanted to see a certain movie but you don't want to stand in line, people can go to movie tickets.com and purchase their tickets. Then, once you get to the movie theater, all that's left to do is walk over to the kiosk and redeem your tickets. Another example is that computers allow people to pay their taxes. There is special software that is able to be downloaded onto your computer. Once the software has been installed, it will usually lead you, step by step, through the process of paying your bills. It's much faster and much easier than paying ""manually"". These are some really good effects that computers have on people. Computers also have their flaws. Over time, computers have caused most people to be lazy. Some people have become too dependant on their computers. Business owners, or businessmen and women in general, are @CAPS2 on their laplops or blackberries. Everywhere you look there is another adult on the internet or e-mail. Not only adult's do this though. Students are becoming more dependant on the internet. For every assignment practically, students use google or bing. Sometimes they use or wikipedia. Students should just take the time to use their extbooks. The student body would rather watch @CAPS3, play video games, or text than do homework. This is understandds because homework can be boring but it all pays off in the end. Taking the extra @NUM1 minutes to use a textbook won't kill anyone. No one has died yet from using a book instead of google. Also, in using a textbook, you will understand how to do whatever you're doing. That isn't so bad, is it? Computers, as you can see, have both good and bad effects. It's easy to use the internet for homework but that doesn't really help you. Making purchases is fun though. It saves gas money and time. I hope you and the readers of this paper see my point of view.",5,4,,9
69,1,"Some people think it is a good idea and same do not. My opinion is that, I think that people spend a lot of time for good reasons. Here are three reasons why, @NUM1. grownups working, @NUM2. students learning how to type, and @NUM3. communicating with others. My first reason is that parents do a lot of work on computer. For example, they do taxes, paperwork, airline tickets, and the bank. And those are usually all done on the computer so it would be easier if people don't drive. My second reason is students need to learn how to type so they can email or even write on paper. It helps them build learning ability and also, so they can know how to sing the @ORGANIZATION1's. Computers are suppose to be fun for people of any age. My last reason is, communicating with others is a great skill to have so you can talk in person. Computers help because if you mess up of what your trying to say then you could just erase what your trying to say. And in person, you can't. Also you can make plans with one of your friend on something if they live really far or something like that. In my opinion. I think people should be able to go on the computers to do work, playgames, no sites, and many more other things to go on, only if you have a computer at home.",3,4,,7
70,1,"Dear @CAPS1 @CAPS2, @CAPS3 life without computers. There would be no quick access to information, no way to socialize, and no way to keep your health records or other personal information safe. Without this technology where would we be? I believe that the world is benefiting from the advances in technology today. As a student, computers are a crucial element to allow me to get my work done. without the guidance from @ORGANIZATION2 @CAPS7, @CAPS4 @CAPS5, or other applications, @CAPS6 woudn't be possible for me to reach my full potential a assignments. How could a student be so certain their grammar is perfect on their homework without asking a teacher? There is a way. It is called @ORGANIZATION2 tools. However, the only way to access this is through a computer or @ORGANIZATION2 @CAPS7 @ORGANIZATION2 tools allows you to check your spelling, grammar, and punctuation with just a click of your mouse. Computers are an essential learning tool for school system today. Not only are computers used to educate, but they are helpful in the real world. Many business rely on the work of Computers entirely. In facts, @CAPS8 to @PERSON1 @CAPS9 @ORGANIZATION1, a local business ""@LOCATION1,"" In our job, we continuously we work with. this wouldn't be possible without the effort of our typist on the computer. ""@CAPS6 business and companies around the nation are relying on the advances in technology, why change anything? We should continue to progress in this groth @PERCENT1 of business in @LOCATION1 say they would have to close dawn @CAPS6 not for computers with so many business doing this, our economy would drop. This would not help. We all know computers and other technology are great sources of entertainments. What you @MONTH1 not now, however, is that they supply a great amount of knowledge to the average person. For example, lets say you finished watching a special on the discovery channel about @LOCATION2. You want to know more, so you pull out your iPod touch. All you have to do is log on to the internet and search ""@CAPS11 of @LOCATION3, @LOCATION2"" @CAPS12 seconds, you would have your information. People @MONTH1 not believe so, but it is true that you canlearn a great deal of information from various forms of technology. You can have all the resources you'll ever reed right at your fingertips. Computer supply so much more then just entertainment. All reasonable people would agree advances in technology are extremely helpul to the public. there is so much guidance for our daily lines through computers.",6,6,,12
71,1,"Computers have helped people tramendisly over the past years. Thanks to computers scientist have found cures for desesse, jobs have become easier . I believe that computers have a baseline effect on people. Because they educate people with their jobs, and give people a chance to talk to people having to pay for anything. If someone to a country that they have they might go on the computer to learn more about that country and their culture. Another thing they might do @CAPS1 go to a website that could help them find affordable . If a child @CAPS1 doing a report about a country in @LOCATION1 thay can go on the computer to find out facts on that country. Computers educate people about about places all over the world, you can go on a website that has videos and written sheet clips about what has been goin on around the world and learn about current events. My grandmother would tell me stories about @CAPS3 @CAPS4 before they had computers, now my dad works on @CAPS3 @CAPS4 and he tells me stories about his day. when you compair the two different decades it saids like computers help out a lot within @CAPS3 @CAPS4. Before computers stores would have to do math in their pad when they were giving change back to people, now people save by punching in the numbers in the computer. I think the computers have helped people with their jobs. When you talk on the phone to someone it costs you money. When you just want to see someone I'l costs you money to get on a phone . with computers you can , or onstant message people with any costs. If you want to see a friend for her @CAPS9 but dont have the money to fly halfway around the world to see her you can vidieo chat with her. Computers help people save money by talking on the computers with friends, family and even co-workers. Computers have been very helpful ever since they were invented. They help people learn about places all over the world and about anything you want to learn about. They also make jobs and work easier and also help people save a lot of money by talking to people on the computers insted of on the phone. Computers have improved demastrecly over the years, the screens use to be so small and you would have to press all these buttons just to open it up and now computers can be as big as a flat @CAPS10 and can turn them on with just a push on a button,, Who knows what computers will be like @NUM1 years from now?",5,5,,10
72,1,"Hello, I decided to write in to the paper on the topic of computers, and how they benefit society. Comuters are powerful machines, and can be used completing otherwise menial and boring tasks. They benefit people in many ways, like they are very useful in buissness, helpful in education, and connect friends and family together. Computers are uselful in buissness and are an extremely important tool in a common workplace today, and make work get done much more efficiently than if they didn't have computers. One reason Computers are so useful in the workplace is because computers can storee far more data that can be put on paper. Also, they can do jobs and processes very quickly, which is important in the workplace. They can also be used for sending important information quickly and without much trouble. These are all valid reasons comuters are beneficial in buissness, and help things get done. Computers are important today's schools and educational programs becasue they can help students work in a more efficient fashion. ""@PERCENT1 of all surveyed students said they would rather type a paper for school than write on by hand, and shows that they value them in their education."" said @PERSON2, a professor at @ORGANIZATION1. This shows that Computers are important to students, and are used their benefit. In addition to students writing papers, computers are being used by teachers and school systems for grading, attendance records, and more. The teachers at my school are using @CAPS1 @CAPS2, pieces of hardware that are directly connected to computers, and can be used instead of white @CAPS2, and I see that students are getting more involved in class, and focused, because this computer technology is being used. All of these @CAPS3 are reasons computers are helpful in educational proceeses, and should continue to be used. Many people want to be able talk to there friends and family when they are bored, and because of computers and social networking websites, and instant messaging programs, this is made much easier. ""@PERCENT2 of teens have at least one sacial networking site they visit on a regular basis."" said @PERSON1, a phycologist, who speciaizes in teens, This shows that people use these sites, and that they like them. Families that are separated because one @MONTH1 have moved out of the house recently might want to communicate with one another, and because of computers, they can. There are multiple ways that they could use their computers to keep in touch, like instant messaging systems mentioned before. Being able to communicate with one another makes theses people happy, and benefits society. Overall, being able to communicate through computers is an enjoyable thing for many people, and is important to society today. To conclude, computers contribute to society in ways that make it much better for everyone. Whether it's through helping buissnesses being more efficient, giving students the ability to work faster, and in a way they prefer, or if it's helping people stay in touch, computers are always benefiting society. These machines hardly ever slow people more thant manually doing the work would, and the positive influence they have far outweighs the bad they do.",5,5,,10
73,1,"Dear The @ORGANIZATION1, ""@CAPS1, @CAPS1, @CAPS1"" goes the floor. ""@CAPS4 oh here comes pete."" ""@CAPS5, is he getting fat"". ""all he does is play on the computer all day long."" @CAPS6 is on increasing amount or teenagers throught the @LOCATION1 who are playing on the computer too much. This is needs to stop. ""@CAPS7 playing on computers is one of the worst things that they can do with their time."" @CAPS8 @PERSON1 of the international health committee. @CAPS6 are always going to be obesse people around the world but in the past @NUM1 years @LOCATION2 has doubled the amount of obese @CAPS7 in all of @LOCATION3."" @CAPS9 show that over @PERCENT1 of the american population is obese and very much so. The future of american is all obese lazy @CAPS7 who only want to sit down in front of a screen all day. @PERCENT2 of @CAPS7 who don't experience nature at a young age never fully appreciate it. Since they play on the computers all day they don't ever use nature, they won't care for it and litter and pollute even more. Just @CAPS7 playing on the computer can be very bad for the environment like it is bad for themselves. Not only do the computers hurt the @CAPS7 and the environment it hurts the family and friend, @CAPS7 who are on the computer all day aren't spending enough time with their family and friends families are supposed to be close and they can't be if someone is playing on the computer all day. Just a couple of weeks ago @PERSON2 rayfield @CAPS8 that he got grounded because he was playing on the computer so much he didn't talk to his many in two weeks. @PERCENT3 of people who get divorced happen because of the arguements over the amount of time spent on the computer. ""@CAPS8 @PERSON3 from the yale marriage research center. If @CAPS7 knew that they might cause their parents to diverse they might stop playing on the computer so much. Therefore @CAPS7 shouldn't spend that amount of time on their computer because of the health, the environment, and their families. So its up to the people really, do you want a nice physically fit nation where every family is close or and rundown obese hole in the wall that is ""called"" the @LOCATION4",4,4,,8
74,1,"I believe that computers have good effects on people. Computers allow people to stay in touch with long distance friends or family. Computers have games for kids that help them learn, and, also, people learn new things, too. My first reason is that, computers allow people to stay in touch. If someone in their family live long distance then they could always use e-mails to talk. That way they wont lose each other. Also, sometimes, friends move away and you always want to keep in touch. Another thing is that, if they want to send photos to each other, they can use e-mail. Also, because, thru an mail takes forever. Please, let the people stay in touch! My second reason is that, computers has games kids play. The games kids play could help them learn more. Sometimes watching t.v. don't help. If they acutually play the game and see what their doing, then they will got smarter. That's what we want for our kids, right? Also, kids have fun playing these games. Do you really want to take the learning experience away? My third reason is, computers help people learn new things. Like, they could go on the computer and learn what's happening in the world. People can learn new words they never knew about. Also, pictures on the computer help, too. For example, if someone is traveling somewhere, and they don't know how the price. They can get on the computer and check it out, right? So, in conclusion, I believe that computers are good use. They help people stay in touch, help kids learn by playing games and help people learn new things about the world and more. So, I'm saying, please, keep the computers. They are not a waste of our time. Turst me!",4,3,,7
75,1,"Dear @ORGANIZATION1, In the past ten years, advances in technology have completely changed the world. Technology makes peoples lives much easier and helps keep more and more people connected throughout the world. More jobs are created and help speed up ordinary events such as taxes, messages, news, and teaching. However, many people have proven that too much use of technology can make teens and adults addicted to the internet. In this addiction many people can lose time with their family, time to exercise and enjoy nature. Since being part of the generation growing up in the new technology era, I have had a first hand experience with the benifits of the new technology. I believe that this technology is a great help to society today. Many more jobs are being created because of this technology. For example, think about how many people could be employed if a new computer system was created. There would be thousands of people working on many things such as the founder, manager, creater of new ideas or just working at the new companies retail store. Running a business or a corporation is a very difficult job to do. But because of the advances in technology, running a business can become much easier and not as much time is wasted. With the new technology, people can send emails within seconds instead of running around the entire office giving out memos. Also for businesses, their stocks of the company can be updated every minute. These advances will make easier to run and make them more efficent. With the advances in technology average people can be updated on the new around the world every minute. Also when it comes time to pay taxes, fill them out and pay on line. None the less, there is more entertainment open to everyone. Through todays new technology, peoples lives are made much easier. They can work faster, get more arrands accomplished, learn more, connect to people around the world, and be caught up with local and international news. Technology is benifiting society and will hopefully continue making life easier.",4,4,,8
76,1,"Dear local newspaper, @CAPS1 best friend, @LOCATION2, was once a nerd with no hand-eye coordination, @CAPS2, he started to use a computer and now he has better hand-eye coordination than me. Computer not only teaches hand-eye coordination, but @CAPS3 gives people the ability to learn about far away places and people,and millons people to talk on line with other people. @CAPS1 friend wasn't the only person who learn hand-eye coordination. About @PERCENT1 of people learn hand-eyes coordination using a computer. @CAPS3 might takes some month to learn, but once a child knows @CAPS3, they will be outside for hours. Who would not want to learn hand-eye coordination? In addition, computer gives people the ability to learn about far away places and people. Computer engineer, @PERSON1, says, ""@NUM1 in every @NUM2 people learn about places and people threw the internet."" @CAPS3 will take a few hours, but you will be educated. Why would someone think we are spending too much time in the internet if we are being educated? Addionally, don't you have a friend who live more than @NUM3 miles away from you? If you do, @CAPS2 a computer will solve your problem of communication. @CAPS1 friend, @LOCATION1, lives @NUM4 miles away from me. We communicate using hotmail, yahoo, and facebook. The best thing of all is that is free unlike a telephone. Futhermore, computer specialist, @PERSON2, says, ""I learned hand-eye coordination using a computer. Most importantly, i was able to hand in @CAPS1 essay on time because of the information a computer provides and i was able to communicate with @CAPS1 family."" I didn't want to tell you this, but i was also a nerd with no hand-eye coordination and i learned just like @LOCATION2 learned. We aren't spending too much time, we are just being educated.",4,4,,8
77,1,"Dear Newspaper, In @DATE1's world we are dependent on computers. @DATE1 computers have become the most helpful source of technology. We need computers for so many things, and they benefit society. They can help people talk online, they're educational, and they improve hand eye cordination. It has been amazing how computers help us so much. We need computers like we need water. If we didn't how would we survive? Computers have become the glue to friendships. They help keep friendships when you don't see the friend constantly. I have a friend that moved to @LOCATION1 last year. It was way too expensive to just call ot text her. So as a result, I keep in contact with her through the computer. Everyday we @CAPS1 and use skype to keep intouch. Those cost @MONEY1 per year. If I were to call her each call would cost @MONEY2. if it weren't for the internet I seriously know that our friendship would collapse. Computers have been so helpful for many people with this same problem. Computers have become the number one source to find information. They have become more popular than the library and text books combined. So many essential resources are on computers. Text books, calculators, and even homework are online. Many people say that computers aren't educational, but scientists say it can move a students grade from a @CAPS2- to an A+. Teachers say the same thing too. one of my fellow students said that computers changed his life. He used to be forgetting to write down his homework, but he looks online and he has all of it. Now he knows what pages to read from the science book. If you don't think that computers have changed students lives, well think again. There are also games that improves hand eye cordination. Many sports teams like the @CAPS3 use this. It has increased there hand eye cordination by @PERCENT1. the team says if it wasn't for the hand eye cordination game, then they would have never have won the @CAPS4 @CAPS5. this game is also free online for anyone to use. Everyone that has used it said it really improved there reaction time. The games are also fun and non violent. They have games like baseball, hockey, and hurdles. This game has made a great improvement on people's lives. If we don't have computers then our hand eye cordination will decrease by @PERCENT2. would you want to be the person to take away computers? In conclusions computers have made a great impact on @DATE1's society. Computers are educational, you get to talk to friends, and improve your hand eye cordination. Computers have made a big improvement on how we live, and it's for the better. If we didn't have computers then friendships would break, grades would decrease, and hand eye cordination would plummit. We need computers they have been so beneficial to billions of people across the globe. Many people depend on computers. So if we take away computers then you'll be letting many lives down. No sane person would want to take away computers. Computers have benifited society in so many ways. ",5,5,,10
78,1,"Dear Local Newspaper, @CAPS1 opinion for using ""too much"" computer time is an outrage. I think people should have more ideas. Such as as exercise, socialize with family and friends, and lastly, ""you time"" which means to do whatever you would like to do indoors BUT @CAPS2 computers. For excersice you can do any sport that you like outside. For @CAPS3 and spending time with family and friends you can have a nice family reunion at their house @CAPS5 just ""hangout with your friends. Four ""you time you can draw, @CAPS5 read a book. Their is a lot of ideas instead of ""computer time @CAPS6 the time!"" With exercising can go outside and play sport such as basketball, soccer @CAPS5 baseball, etc. You could even play hide and seek with your friends @CAPS5 even tag. Anything that keeps you moving out of the house ins tead of using computers! If you exercise everyday such as ""workout"" to get fit you will definatelly manage that instead of using ""computer time"". Exercising is a good idea ins tead of using ""computer time!"" @CAPS3 with family and friends is a good use instead of ""computer time because you can finally have the time to spend time with then like talk to them, play games @CAPS5 eat dinner together. That's called ""@CAPS3"" Your family @CAPS5 friends will love to spend time together by eating dinner together and have a nice conversation. You could also play any board games such as ""monopoly"" too. With your friends you ran go to the movies, have a sleepover @CAPS5 play outside. Many good little ideas to do with family and friends instead of using ""computer time."" The last idea for ins tead of using ""computer time"" lis doing ""you time indoors. WARNING! But @CAPS2 computer time! You could do something quite like draw a nice picture. That's something nice and quite to do instead of using ""computer time."" @CAPS5 you could even read a book too. Maybe you have to catch up on your nightly reading for language arts and you want start reading your goal book. If you choose to do ""you time, you will definately manage to undo that useless ""computer time!"" @CAPS6 of these ""ideas"" for not using the computer is very easy. It's not healthey to sit around the computer @CAPS6 day! Instead you can exercise. You could also socialize with family and friends. Lastly, do ""you time. but don't use a computer!!! If you want to achieve a goal you can mange that!!!",5,5,,10
79,1,"Computers have caused many people money, friends and time. In fact, since that the computers came out this year, lots of people has been spending web to much time of them. Which can cause people to loose time and friends. Computers and technology today have had a very influence on very many people. Spending too much time on computers can cause to loose time and money. For example, my oldest brother was very large at the age of @NUM1 or @NUM2 because our computer started working, but this had a positive impact on him, he started participating in sports such as basketball and lacrosse and that he was very at them and followed lacrosse through highschool. While doing this he and saves my parents money. This is @CAPS1 reason how computers have had a negative effect on people. The new technology has caused people to loose lots of time when they could be doing other things that would them in life. For example, many people in the @LOCATION1 have half of their day to computers, and not getting the exercise of this are video games of the day on computers. This is @CAPS1 affect that computers can have on people is loosing or with friends. For example, I used to be friends a person, but then he did not talk to me for almost the entire @DATE1 because he was always on the computer, which made me think that he did not want to be friends but actually he just deleted almost all of the the @DATE1 to the computer. Since this helped I have been over to his house about @NUM3 times this year as to every @DATE2. This is @CAPS1 way computers can change your life. The time has come to decide whether to have a computer or not to have in computers. In my mind I that it would be best for everyone if we did not have the on computers, but if you do that we should have the an computers than put a certain time wait on computers. In your so you and your family members don't loose time, exercise time, or friends. Overall, I think that it would be best for everyone if we had a time on computers to the whole day on them.",5,5,,10
